Name,Path,Folder,Folder ID,Folder URL,Extension,Page Count,Page Count Source,Size (KB),Created,Modified,File ID,File URL,Duplicate
2019-12-21 Santa Cruz Police Report (CATALYST 1-13).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2019-12-21 Santa Cruz Police Report (CATALYST 1-13).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,13,pdf_parsed,1993.5,2026-02-12,2026-02-12,2132940666066,https://app.box.com/file/2132940666066,Yes
2019-12-21 Santa Cruz Police Report (CATALYST 1-13).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Police Report/2019-12-21 Santa Cruz Police Report (CATALYST 1-13).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Police Report",365775646866,https://app.box.com/folder/365775646866,.pdf,13,pdf_parsed,1993.5,2026-02-12,2026-02-12,2132940514866,https://app.box.com/file/2132940514866,Yes
2021-03-15 Medium.com - VIP While Black Article by Plaintiff.pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2021-03-15 Medium.com - VIP While Black Article by Plaintiff.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,35,pdf_parsed,24833.3,2026-02-12,2026-02-12,2132940596466,https://app.box.com/file/2132940596466,Yes
2021-03-15 Medium.com - VIP While Black Article by Plaintiff.pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Article/2021-03-15 Medium.com - VIP While Black Article by Plaintiff.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Article",365775661266,https://app.box.com/folder/365775661266,.pdf,35,pdf_parsed,24833.3,2026-02-12,2026-02-12,2132940560466,https://app.box.com/file/2132940560466,Yes
2021-11-17 Complaint(108316473.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2021-11-17 Complaint(108316473.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,14,pdf_parsed,249.3,2026-02-12,2026-02-12,2132940598866,https://app.box.com/file/2132940598866,Yes
2021-11-17 Complaint(108316473.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Complaint(s) & Answer(s)/2021-11-17 Complaint(108316473.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Complaint(s) & Answer(s)",365775651666,https://app.box.com/folder/365775651666,.pdf,14,pdf_parsed,249.3,2026-02-12,2026-02-12,2132940536466,https://app.box.com/file/2132940536466,Yes
2022-01-21 Def Catalyst Answer to Complaint.pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-01-21 Def Catalyst Answer to Complaint.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,9,pdf_parsed,784.0,2026-02-12,2026-02-12,2132940632466,https://app.box.com/file/2132940632466,Yes
2022-01-21 Def Catalyst Answer to Complaint.pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Complaint(s) & Answer(s)/2022-01-21 Def Catalyst Answer to Complaint.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Complaint(s) & Answer(s)",365775651666,https://app.box.com/folder/365775651666,.pdf,9,pdf_parsed,784.0,2026-02-12,2026-02-12,2132940531666,https://app.box.com/file/2132940531666,Yes
"2022-06-01 - DEF CATALYST FROGS TO PLTF, SET ONE(110191976.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 - DEF CATALYST FROGS TO PLTF, SET ONE(110191976.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,9,pdf_parsed,5120.9,2026-02-12,2026-02-12,2132940637266,https://app.box.com/file/2132940637266,Yes
"2022-06-01 - DEF CATALYST FROGS TO PLTF, SET ONE(110191976.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/**Duplicates/2022-06-01 - DEF CATALYST FROGS TO PLTF, SET ONE(110191976.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/**Duplicates",365775668466,https://app.box.com/folder/365775668466,.pdf,9,pdf_parsed,5120.9,2026-02-12,2026-02-12,2132940687666,https://app.box.com/file/2132940687666,Yes
"2022-06-01 - DEF CATALYST RFPD TO PLTF, SET ONE(110191969.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 - DEF CATALYST RFPD TO PLTF, SET ONE(110191969.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,8,pdf_parsed,2734.0,2026-02-12,2026-02-12,2132940589266,https://app.box.com/file/2132940589266,Yes
"2022-06-01 - DEF CATALYST RFPD TO PLTF, SET ONE(110191969.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/**Duplicates/2022-06-01 - DEF CATALYST RFPD TO PLTF, SET ONE(110191969.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/**Duplicates",365775668466,https://app.box.com/folder/365775668466,.pdf,8,pdf_parsed,2734.0,2026-02-12,2026-02-12,2132940690066,https://app.box.com/file/2132940690066,Yes
"2022-06-01 - DEF CATALYST SROGS TO PLTF, SET ONE(110191967.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 - DEF CATALYST SROGS TO PLTF, SET ONE(110191967.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,7,pdf_parsed,2439.6,2026-02-12,2026-02-12,2132940656466,https://app.box.com/file/2132940656466,Yes
"2022-06-01 - DEF CATALYST SROGS TO PLTF, SET ONE(110191967.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/**Duplicates/2022-06-01 - DEF CATALYST SROGS TO PLTF, SET ONE(110191967.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/**Duplicates",365775668466,https://app.box.com/folder/365775668466,.pdf,7,pdf_parsed,2439.6,2026-02-12,2026-02-12,2132940692466,https://app.box.com/file/2132940692466,Yes
"2022-06-01 Catalyst FROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 Catalyst FROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,9,pdf_parsed,5120.9,2026-02-12,2026-02-12,2132940663666,https://app.box.com/file/2132940663666,Yes
"2022-06-01 Catalyst FROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/2022-06-01 Catalyst FROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories",365775649266,https://app.box.com/folder/365775649266,.pdf,9,pdf_parsed,5120.9,2026-02-12,2026-02-12,2132940524466,https://app.box.com/file/2132940524466,Yes
"2022-06-01 Catalyst RFPD to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 Catalyst RFPD to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,8,pdf_parsed,2734.0,2026-02-12,2026-02-12,2132940642066,https://app.box.com/file/2132940642066,Yes
"2022-06-01 Catalyst RFPD to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Requests for Production of Docs/2022-06-01 Catalyst RFPD to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Requests for Production of Docs",365775658866,https://app.box.com/folder/365775658866,.pdf,8,pdf_parsed,2734.0,2026-02-12,2026-02-12,2132940555666,https://app.box.com/file/2132940555666,Yes
"2022-06-01 Catalyst SROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 Catalyst SROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,7,pdf_parsed,2439.6,2026-02-12,2026-02-12,2132940622866,https://app.box.com/file/2132940622866,Yes
"2022-06-01 Catalyst SROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/2022-06-01 Catalyst SROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories",365775649266,https://app.box.com/folder/365775649266,.pdf,7,pdf_parsed,2439.6,2026-02-12,2026-02-12,2132940517266,https://app.box.com/file/2132940517266,Yes
2022-07-01 - Apara - Pltf Response to Def Catalyst FROGS - Set One(108559861.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-07-01 - Apara - Pltf Response to Def Catalyst FROGS - Set One(108559861.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,13,pdf_parsed,333.5,2026-02-12,2026-02-12,2132940675666,https://app.box.com/file/2132940675666,Yes
2022-07-01 - Apara - Pltf Response to Def Catalyst FROGS - Set One(108559861.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/2022-07-01 - Apara - Pltf Response to Def Catalyst FROGS - Set One(108559861.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories",365775649266,https://app.box.com/folder/365775649266,.pdf,13,pdf_parsed,333.5,2026-02-12,2026-02-12,2132940522066,https://app.box.com/file/2132940522066,Yes
2022-07-01 - Apara - Pltf Responses to Def Catalyst SROGS - Set One(108559858.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-07-01 - Apara - Pltf Responses to Def Catalyst SROGS - Set One(108559858.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,13,pdf_parsed,318.3,2026-02-12,2026-02-12,2132940579666,https://app.box.com/file/2132940579666,Yes
2022-07-01 - Apara - Pltf Responses to Def Catalyst SROGS - Set One(108559858.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/2022-07-01 - Apara - Pltf Responses to Def Catalyst SROGS - Set One(108559858.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories",365775649266,https://app.box.com/folder/365775649266,.pdf,13,pdf_parsed,318.3,2026-02-12,2026-02-12,2132940519666,https://app.box.com/file/2132940519666,Yes
2022-07-25 - Apara - Pltf Response to Def Catalyst RFPS - Supplemental(108559860.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-07-25 - Apara - Pltf Response to Def Catalyst RFPS - Supplemental(108559860.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,19,pdf_parsed,6745.4,2026-02-12,2026-02-12,2132940586866,https://app.box.com/file/2132940586866,Yes
2022-07-25 - Apara - Pltf Response to Def Catalyst RFPS - Supplemental(108559860.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/W2s & 1040's/2022-07-25 - Apara - Pltf Response to Def Catalyst RFPS - Supplemental(108559860.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/W2s & 1040's",365775654066,https://app.box.com/folder/365775654066,.pdf,19,pdf_parsed,6745.4,2026-02-12,2026-02-12,2132940541266,https://app.box.com/file/2132940541266,Yes
