Name,Path,Folder,Folder ID,Folder URL,Extension,Page Count,Page Count Source,Size (KB),Created,Modified,File ID,File URL,Duplicate
2019-12-21 Santa Cruz Police Report (CATALYST 1-13).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2019-12-21 Santa Cruz Police Report (CATALYST 1-13).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,13,pdf_parsed,1993.5,2026-02-12,2026-02-12,2132940666066,https://app.box.com/file/2132940666066,Yes
2021-03-15 Medium.com - VIP While Black Article by Plaintiff.pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2021-03-15 Medium.com - VIP While Black Article by Plaintiff.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,35,pdf_parsed,24833.3,2026-02-12,2026-02-12,2132940596466,https://app.box.com/file/2132940596466,Yes
2021-11-17 Complaint(108316473.1).pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2021-11-17 Complaint(108316473.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,14,pdf_parsed,249.3,2026-02-12,2026-02-12,2132940598866,https://app.box.com/file/2132940598866,Yes
2022-01-21 Def Catalyst Answer to Complaint.pdf,"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-01-21 Def Catalyst Answer to Complaint.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,9,pdf_parsed,784.0,2026-02-12,2026-02-12,2132940632466,https://app.box.com/file/2132940632466,Yes
"2022-06-01 - DEF CATALYST FROGS TO PLTF, SET ONE(110191976.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 - DEF CATALYST FROGS TO PLTF, SET ONE(110191976.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,9,pdf_parsed,5120.9,2026-02-12,2026-02-12,2132940637266,https://app.box.com/file/2132940637266,Yes
"2022-06-01 - DEF CATALYST RFPD TO PLTF, SET ONE(110191969.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 - DEF CATALYST RFPD TO PLTF, SET ONE(110191969.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,8,pdf_parsed,2734.0,2026-02-12,2026-02-12,2132940589266,https://app.box.com/file/2132940589266,Yes
"2022-06-01 - DEF CATALYST SROGS TO PLTF, SET ONE(110191967.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 - DEF CATALYST SROGS TO PLTF, SET ONE(110191967.1).pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,7,pdf_parsed,2439.6,2026-02-12,2026-02-12,2132940656466,https://app.box.com/file/2132940656466,Yes
"2022-06-01 Catalyst FROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 Catalyst FROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,9,pdf_parsed,5120.9,2026-02-12,2026-02-12,2132940663666,https://app.box.com/file/2132940663666,Yes
"2022-06-01 Catalyst RFPD to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 Catalyst RFPD to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,8,pdf_parsed,2734.0,2026-02-12,2026-02-12,2132940642066,https://app.box.com/file/2132940642066,Yes
"2022-06-01 Catalyst SROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026/2022-06-01 Catalyst SROGS to Apara, Set 1.pdf","Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",365775666066,https://app.box.com/folder/365775666066,.pdf,7,pdf_parsed,2439.6,2026-02-12,2026-02-12,2132940622866,https://app.box.com/file/2132940622866,Yes
