Name,Path,Folder,Extension,Page Count,Page Count Source,Size (KB),Created,Modified,File ID,Duplicate
2024-03-26 Plf's Answers to LOC's 1st RFA's.pdf,Doe et al. v. Liberty Healthcare et al/01_Cody Richardson (JD1)/_PLEADINGS/2024-03-26 Plf's Answers to LOC's 1st RFA's.pdf,Doe et al. v. Liberty Healthcare et al/01_Cody Richardson (JD1)/_PLEADINGS,.pdf,8,pdf_parsed,135.3,3/18/26,3/18/26,2.16912E+12,No
2024-03-26 Plf's Answers to LOC's 1st Roggs.pdf,Doe et al. v. Liberty Healthcare et al/01_Cody Richardson (JD1)/_PLEADINGS/2024-03-26 Plf's Answers to LOC's 1st Roggs.pdf,Doe et al. v. Liberty Healthcare et al/01_Cody Richardson (JD1)/_PLEADINGS,.pdf,26,pdf_parsed,252.5,3/18/26,3/18/26,2.1691E+12,No
2024-03-26 Plf's Responses to LOCs 1st RFPs.pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps/2024-03-26 Plf's Responses to LOCs 1st RFPs.pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps,.pdf,21,pdf_parsed,186.1,3/18/26,3/18/26,2.16906E+12,Yes
2024-03-26 Plf's Responses to LOCs 1st RFPs.pdf,Doe et al. v. Liberty Healthcare et al/01_Cody Richardson (JD1)/_PLEADINGS/2024-03-26 Plf's Responses to LOCs 1st RFPs.pdf,Doe et al. v. Liberty Healthcare et al/01_Cody Richardson (JD1)/_PLEADINGS,.pdf,21,pdf_parsed,186.1,3/18/26,3/18/26,2.16911E+12,Yes
2024-04-12 LOC's Responses to Plaintiff's First Discovery Requests [CJ-23-6934].pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps/2024-04-12 LOC's Responses to Plaintiff's First Discovery Requests [CJ-23-6934].pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps,.pdf,28,pdf_parsed,362.2,3/18/26,3/18/26,2.16907E+12,Yes
2024-04-12 LOC's Responses to Plaintiff's First Discovery Requests [CJ-23-6934].pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/_PLEADINGS/2024-04-12 LOC's Responses to Plaintiff's First Discovery Requests [CJ-23-6934].pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/_PLEADINGS,.pdf,28,pdf_parsed,362.2,3/18/26,3/18/26,2.16906E+12,Yes
2024-04-12 LOC's Responses to Plaintiff's First Discovery Requests.PDF,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps/2024-04-12 LOC's Responses to Plaintiff's First Discovery Requests.PDF,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps,.pdf,28,pdf_parsed,367.6,3/18/26,3/18/26,2.16907E+12,No
2024-10-24 Liberty Responses to Plaintiff's Amended Third Discovery Requests.pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps/2024-10-24 Liberty Responses to Plaintiff's Amended Third Discovery Requests.pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps,.pdf,7,pdf_parsed,221,3/18/26,3/18/26,2.16907E+12,Yes
2024-10-24 Liberty Responses to Plaintiff's Amended Third Discovery Requests.pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/_PLEADINGS/2024-10-24 Liberty Responses to Plaintiff's Amended Third Discovery Requests.pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/_PLEADINGS,.pdf,7,pdf_parsed,221,3/18/26,3/18/26,2.16907E+12,Yes
2024-10-30 Liberty Responses to Plaintiff's Amended Fourth Discovery Requets.pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps/2024-10-30 Liberty Responses to Plaintiff's Amended Fourth Discovery Requets.pdf,Doe et al. v. Liberty Healthcare et al/00_All Cases/LIBERTY - Disc Resps,.pdf,11,pdf_parsed,226.3,3/18/26,3/18/26,2.16906E+12,Yes
